SCHID,STUID,SES,HOMEWORK,WHITE,PARENTED,MATH,SEX,RACE
62821,0,1.629999995,4,1,6,62,1,4
62821,1,0.479999989,5,1,4,68,2,4
62821,3,0.689999998,5,1,5,56,1,4
62821,4,0.600000024,5,1,4,68,2,4
62821,6,0.769999981,2,1,4,61,2,4
62821,7,1.190000057,2,1,5,61,2,4
62821,9,1.169999957,3,1,5,62,2,4
62821,11,1.120000005,1,1,6,60,2,4
62821,12,1.850000024,2,1,6,68,2,4
62821,13,0.75,0,1,4,63,1,4
62821,14,1,5,1,4,71,1,4
62821,16,1.799999952,1,1,6,61,1,4
62821,17,1.429999948,2,1,5,60,1,4
62821,18,-0.119999997,5,0,4,69,2,1
62821,19,0.980000019,6,0,5,70,2,3
62821,20,1,1,1,4,66,1,4
62821,22,1.230000019,2,1,5,63,1,4
62821,25,0.860000014,1,1,4,63,2,4
62821,26,0.180000007,2,1,4,67,2,4
62821,27,1.480000019,5,1,6,62,2,4
62821,28,1.25,4,1,5,51,2,4
62821,29,1.179999948,4,1,5,64,1,4
62821,30,0.639999986,1,1,5,57,2,4
62821,31,1.129999995,4,1,4,67,1,4
62821,32,1.820000052,1,1,6,57,1,4
62821,34,1.340000033,4,1,6,69,2,4
62821,35,0.680000007,1,1,4,54,1,4
62821,39,1.110000014,5,1,4,69,2,4
62821,40,1.399999976,5,1,5,63,2,4
62821,41,0.790000021,1,1,6,43,2,4
62821,42,1.610000014,5,1,6,60,2,4
62821,43,1.029999971,4,1,5,71,1,4
62821,44,1.379999995,0,1,5,63,1,4
62821,46,1.279999971,2,1,6,56,1,4
62821,47,0.560000002,5,1,4,65,2,4
62821,48,1.029999971,4,1,5,69,1,4
62821,49,1.299999952,2,1,5,61,2,4
62821,54,1.230000019,5,1,6,70,2,4
62821,56,1.419999957,1,1,6,56,1,4
62821,57,1.00999999,3,1,5,61,1,4
62821,60,1.320000052,4,1,6,60,1,4
62821,61,0.970000029,3,1,5,65,2,4
62821,63,1.309999943,4,1,4,64,1,4
62821,64,0.090000004,7,1,3,65,1,4
62821,65,1.480000019,5,1,5,70,1,4
62821,66,-0.349999994,1,0,3,67,1,1
62821,68,0.400000006,1,1,3,63,2,4
62821,69,0.860000014,3,1,5,63,1,4
62821,70,0.850000024,4,1,4,64,1,4
62821,71,1.090000033,3,0,5,56,1,1
62821,72,1,3,1,4,63,2,4
62821,73,0.25999999,1,1,3,67,2,4
62821,75,0.980000019,4,0,5,54,1,1
62821,76,1.5,5,1,6,55,1,4
62821,77,0.930000007,3,1,5,67,1,4
62821,78,1.019999981,1,0,6,58,2,1
62821,80,1.549999952,5,1,6,57,1,4
62821,81,1.25999999,4,0,6,63,1,2
62821,82,1.679999948,6,1,6,67,2,4
62821,83,1.340000033,3,1,6,70,2,4
